"uid","releaseLocation","totalLength","datetime","lat","long","active"
"150.38_93","Rocky Point",192,2018-07-24 13:23:42,42.4119764,-122.0359117,0
"150.38_93","Rocky Point",192,2018-07-26 13:23:53,42.4120364,-122.035185,0
"150.38_93","Rocky Point",192,2018-08-02 13:00:20,42.41203305,-122.0355714,0
"150.38_93","Rocky Point",192,2018-08-21 13:28:47,42.41191,-122.0338817,0
"150.38_93","Rocky Point",192,2018-08-23 13:11:48,42.4129767,-122.0348814,0
"150.38_93","Rocky Point",192,2018-09-04 14:20:55,42.4118883,-122.0341917,0
"150.38_93","Rocky Point",192,2018-09-11 12:50:14,42.4126647,-122.0345081,0
"150.38_93","Rocky Point",192,2018-09-18 13:17:45,42.4124047,-122.0355097,0
"150.38_93","Rocky Point",192,2018-09-27 11:08:02,42.4112783,-122.0329731,0
"150.38_93","Rocky Point",192,2018-10-02 12:42:27,42.4133781,-122.0321997,0
"150.38_93","Rocky Point",192,2018-10-11 13:20:02,42.4138214,-122.0340665,0
"150.38_93","Rocky Point",192,2018-10-18 12:01:55,42.4126764,-122.03601585,0
"150.38_94","Rocky Point",184,2018-04-19 17:00:00,42.47781,-122.087166,1
"150.38_97","Rocky Point",195,2018-04-19 17:00:00,42.47781,-122.087166,1
"150.38_97","Rocky Point",195,2018-04-24 14:53:02,42.3979181,-122.0083933,1
"150.38_97","Rocky Point",195,2018-05-01 14:31:39,42.4148917,-122.037115,1
"150.38_97","Rocky Point",195,2018-05-08 14:59:46,42.41738305,-122.0377849,0
"150.38_97","Rocky Point",195,2018-05-15 11:38:26,42.4165017,-122.0381217,0
"150.38_97","Rocky Point",195,2018-05-17 12:49:50,42.4174783,-122.0389883,0
"150.38_97","Rocky Point",195,2018-05-22 11:22:46,42.4176981,-122.0378464,0
"150.38_97","Rocky Point",195,2018-05-29 08:11:30,42.4177067,-122.03976,0
"150.38_97","Rocky Point",195,2018-06-05 14:21:43,42.4173383,-122.0389681,0
"150.38_97","Rocky Point",195,2018-06-07 10:32:10,42.4167597,-122.0378133,0
"150.38_97","Rocky Point",195,2018-06-12 09:46:31,42.4172683,-122.0387497,0
"150.38_97","Rocky Point",195,2018-06-14 13:30:51,42.4177883,-122.037215,0
"150.38_97","Rocky Point",195,2018-06-19 11:04:41,42.4167817,-122.0363781,0
"150.38_97","Rocky Point",195,2018-06-21 12:35:05,42.4199014,-122.0378217,0
"150.38_97","Rocky Point",195,2018-06-26 13:41:47,42.4170214,-122.0383114,0
"150.38_97","Rocky Point",195,2018-06-28 13:34:30,42.4171347,-122.0377997,0
"150.38_97","Rocky Point",195,2018-07-03 13:05:21,42.4178641666667,-122.037399366667,0
"150.38_97","Rocky Point",195,2018-07-05 11:01:14,42.4165667,-122.0369347,0
"150.38_97","Rocky Point",195,2018-07-10 12:52:05,42.4174117,-122.0379097,0
"150.38_97","Rocky Point",195,2018-07-12 13:13:44,42.4171264,-122.0379631,0
"150.38_97","Rocky Point",195,2018-07-17 11:22:28,42.4192331,-122.0330033,0
"150.38_97","Rocky Point",195,2018-07-24 13:22:23,42.4172881,-122.0367764,0
"150.38_97","Rocky Point",195,2018-07-26 13:20:36,42.4170189,-122.03765655,0
"150.38_97","Rocky Point",195,2018-08-28 13:21:15,42.4190597,-122.0382633,0
"150.38_98","Shoalwater Bay",210,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_98","Shoalwater Bay",210,2018-04-24 15:14:41,42.4219731,-122.0360881,1
"150.38_98","Shoalwater Bay",210,2018-05-01 14:43:51,42.4324467,-121.9569697,1
"150.38_98","Shoalwater Bay",210,2018-05-08 15:06:21,42.4254814,-122.03539,1
"150.38_98","Shoalwater Bay",210,2018-05-22 11:23:43,42.4072697,-122.0186733,1
"150.38_98","Shoalwater Bay",210,2018-05-29 08:18:05,42.41137,-122.036365,1
"150.38_98","Shoalwater Bay",210,2018-06-05 14:13:36,42.4259183,-122.0349633,1
"150.38_98","Shoalwater Bay",210,2018-06-12 09:40:23,42.4268583,-122.0354767,1
"150.38_98","Shoalwater Bay",210,2018-06-19 14:17:58,42.4107081,-121.9449867,1
"150.38_98","Shoalwater Bay",210,2018-07-05 11:12:43,42.4252333,-121.9495933,1
"150.38_98","Shoalwater Bay",210,2018-07-12 12:08:06,42.4928481,-122.0246983,1
"150.38_99","Rocky Point",181,2018-04-19 17:00:00,42.47781,-122.087166,1
"150.38_99","Rocky Point",181,2018-04-24 07:54:06,42.4462431,-122.0603117,1
"150.38_99","Rocky Point",181,2018-04-26 15:25:50,42.4568481,-122.074305,1
"150.38_99","Rocky Point",181,2018-05-01 15:21:28,42.4628767,-121.948575,1
"150.38_99","Rocky Point",181,2018-05-03 13:09:33,42.4633364,-121.9517547,0
"150.38_99","Rocky Point",181,2018-05-08 11:27:28,42.4644181,-121.958175,0
"150.38_99","Rocky Point",181,2018-05-15 09:43:49,42.46299555,-121.9541974,0
"150.38_99","Rocky Point",181,2018-05-31 12:42:28,42.46199,-121.9510781,0
"150.38_99","Rocky Point",181,2018-06-12 13:33:30,42.46271585,-121.9542039,0
"150.38_99","Rocky Point",181,2018-06-19 11:48:51,42.4657317,-121.9535264,0
"150.38_99","Rocky Point",181,2018-07-17 12:11:42,42.4662047,-121.9544631,0
"150.38_99","Rocky Point",181,2018-07-19 09:52:46,42.4639731,-121.9568831,0
"150.38_99","Rocky Point",181,2018-07-26 10:25:41,42.4630764,-121.9563583,0
"150.38_99","Rocky Point",181,2018-09-04 09:35:42,42.4644,-121.9568433,0
"150.38_99","Rocky Point",181,2018-09-11 10:18:23,42.46463225,-121.95718805,0
"150.38_99","Rocky Point",181,2018-09-18 10:21:35,42.4649281,-121.9572183,0
"150.38_99","Rocky Point",181,2018-09-27 12:01:25,42.4691967,-121.9478964,0
"150.38_99","Rocky Point",181,2018-10-02 09:46:11,42.4660964,-121.9572874,0
"151.5_1","Rocky Point",177,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_1","Rocky Point",177,2018-06-26 14:03:48,42.3910781,-121.973805,1
"151.5_1","Rocky Point",177,2018-07-05 12:46:32,42.2647997,-121.8013097,1
"151.5_1","Rocky Point",177,2018-07-19 07:32:18,42.2383214,-121.814555,1
"151.5_10","Rocky Point",181,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_10","Rocky Point",181,2018-05-03 13:55:28,42.4946314,-121.9259597,0
"151.5_10","Rocky Point",181,2018-05-08 11:50:39,42.4904447,-121.9426597,0
"151.5_10","Rocky Point",181,2018-05-15 13:06:24,42.5000414,-121.9028381,0
"151.5_10","Rocky Point",181,2018-05-22 13:01:39,42.5068458,-121.90955725,0
"151.5_10","Rocky Point",181,2018-05-24 08:56:04,42.49467085,-121.92603,0
"151.5_10","Rocky Point",181,2018-05-31 13:26:16,42.49432415,-121.9267764,0
"151.5_10","Rocky Point",181,2018-06-07 12:13:15,42.5043081,-121.9012231,0
"151.5_10","Rocky Point",181,2018-07-17 13:09:06,42.5045083,-121.9075897,0
"151.5_10","Rocky Point",181,2018-08-28 13:07:05,42.5031347,-121.9075031,0
"151.5_10","Rocky Point",181,2018-09-11 12:42:23,42.5013081,-121.9044697,0
"151.5_100","Rocky Point",199,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_100","Rocky Point",199,2018-04-26 13:02:07,42.4838064,-121.992205,1
"151.5_11","Rocky Point",190,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_11","Rocky Point",190,2018-04-24 15:16:47,42.4247747,-122.035145,1
"151.5_12","TNC",199,2018-04-18 17:00:00,42.493938,-121.93662,1
"151.5_13","TNC",185,2018-04-18 17:00:00,42.493938,-121.93662,1
"151.5_14","Rocky Point",199,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_14","Rocky Point",199,2018-04-24 11:23:28,42.4626497,-121.9488564,1
"151.5_14","Rocky Point",199,2018-04-26 14:50:00,42.4587981,-122.062925,1
"151.5_14","Rocky Point",199,2018-05-01 11:57:20,42.4254647,-121.9546133,1
"151.5_14","Rocky Point",199,2018-05-08 12:30:00,42.4255397,-121.9667533,1
"151.5_14","Rocky Point",199,2018-05-10 09:37:21,42.4295114,-121.9582114,1
"151.5_15","Shoalwater Bay",210,2018-04-22 17:00:00,42.392267,-121.957114,1
"151.5_15","Shoalwater Bay",210,2018-04-24 12:49:38,42.3958772,-121.9636649,1
"151.5_15","Shoalwater Bay",210,2018-05-01 10:32:23,42.3951881,-121.9640764,1
"151.5_15","Shoalwater Bay",210,2018-05-29 13:52:04,42.309495,-121.93983,1
"151.5_15","Shoalwater Bay",210,2018-06-07 10:46:22,42.3092517,-121.9399547,1
"151.5_15","Shoalwater Bay",210,2018-06-14 14:17:50,42.4025117,-121.9419733,1
"151.5_15","Shoalwater Bay",210,2018-06-19 14:25:47,42.3911381,-121.9364783,1
"151.5_15","Shoalwater Bay",210,2018-06-26 12:52:53,42.4744297,-122.0563783,1
"151.5_15","Shoalwater Bay",210,2018-06-28 12:50:07,42.4937647,-122.0281081,1
"151.5_15","Shoalwater Bay",210,2018-07-05 12:48:05,42.2611097,-121.7957864,1
"151.5_16","Shoalwater Bay",184,2018-04-22 17:00:00,42.392267,-121.957114,1
"151.5_16","Shoalwater Bay",184,2018-04-24 12:37:08,42.3988347,-121.9547047,1
"151.5_18","TNC",189,2018-04-18 17:00:00,42.493938,-121.93662,1
"151.5_18","TNC",189,2018-05-15 10:41:13,42.3432131,-121.9222267,1
"151.5_19","Shoalwater Bay",187,2018-04-22 17:00:00,42.392267,-121.957114,1
"151.5_19","Shoalwater Bay",187,2018-04-24 15:00:23,42.4029297,-122.0274331,1
"151.5_19","Shoalwater Bay",187,2018-05-01 15:24:25,42.4318564,-121.8617781,1
"151.5_19","Shoalwater Bay",187,2018-06-14 13:05:33,42.47529,-122.0863983,1
"151.5_19","Shoalwater Bay",187,2018-06-26 14:33:22,42.4002647,-121.9423133,1
"151.5_19","Shoalwater Bay",187,2018-07-03 15:10:39,42.3062897,-121.8827917,1
"151.5_19","Shoalwater Bay",187,2018-07-12 08:27:24,42.3478997,-121.8301033,1
"151.5_19","Shoalwater Bay",187,2018-07-17 08:40:30,42.3473447,-121.8292867,0
"151.5_19","Shoalwater Bay",187,2018-07-19 08:18:34,42.3474281,-121.8298964,0
"151.5_19","Shoalwater Bay",187,2018-07-24 08:27:55,42.3473181,-121.8303117,0
"151.5_19","Shoalwater Bay",187,2018-07-26 08:34:29,42.3476831,-121.8297397,0
"151.5_19","Shoalwater Bay",187,2018-07-31 08:27:31,42.3472831,-121.8302267,0
"151.5_19","Shoalwater Bay",187,2018-08-02 08:39:41,42.3482064,-121.8303324,0
"151.5_19","Shoalwater Bay",187,2018-08-21 08:24:09,42.3481467,-121.8313033,0
"151.5_19","Shoalwater Bay",187,2018-08-23 08:11:28,42.34927,-121.83069,0
"151.5_19","Shoalwater Bay",187,2018-08-28 13:13:45,42.3468781,-121.8303483,0
"151.5_19","Shoalwater Bay",187,2018-08-30 08:12:28,42.348075,-121.8311417,0
"151.5_19","Shoalwater Bay",187,2018-09-04 08:45:24,42.3477283,-121.8315567,0
"151.5_19","Shoalwater Bay",187,2018-09-11 12:48:48,42.3464581,-121.83062,0
"151.5_19","Shoalwater Bay",187,2018-09-18 08:26:38,42.3479364,-121.8314483,0
"151.5_2","Shoalwater Bay",195,2018-04-22 17:00:00,42.392267,-121.957114,1
"151.5_2","Shoalwater Bay",195,2018-04-24 12:33:41,42.4025964,-121.9546167,1
"151.5_2","Shoalwater Bay",195,2018-05-01 12:33:04,42.3908414,-121.9363983,1
"151.5_2","Shoalwater Bay",195,2018-05-10 09:16:56,42.41145225,-121.9447706,1
"151.5_2","Shoalwater Bay",195,2018-05-15 12:25:57,42.4840114,-121.9757917,1
"151.5_2","Shoalwater Bay",195,2018-05-22 11:22:18,42.40858,-122.0306233,1
"151.5_2","Shoalwater Bay",195,2018-05-24 09:14:53,42.4632967,-121.9628297,1
"151.5_2","Shoalwater Bay",195,2018-05-31 12:45:00,42.4625733,-121.9546083,1
"151.5_2","Shoalwater Bay",195,2018-06-05 08:06:45,42.5686167,-121.9308081,1
"151.5_2","Shoalwater Bay",195,2018-07-12 10:27:10,42.4900481,-122.0051617,1
"151.5_2","Shoalwater Bay",195,2018-07-19 11:47:17,42.4909581,-122.0451033,1
"151.5_2","Shoalwater Bay",195,2018-07-26 10:52:26,42.5182664,-121.9685914,1
"151.5_2","Shoalwater Bay",195,2018-07-31 12:59:28,42.4372181,-122.0509583,1
"151.5_2","Shoalwater Bay",195,2018-08-02 12:10:44,42.4559531,-122.0700814,1
"151.5_2","Shoalwater Bay",195,2018-08-23 10:20:48,42.5115867,-121.9569247,1
"151.5_20","Rocky Point",195,2018-04-19 17:00:00,42.47781,-122.087166,1
"151.5_20","Rocky Point",195,2018-04-24 08:30:07,42.4748397,-122.0854617,1
"151.5_21","Shoalwater Bay",224,2018-04-22 17:00:00,42.392267,-121.957114,1
"151.5_21","Shoalwater Bay",224,2018-04-24 13:56:39,42.4000197,-121.9715131,1
"151.5_21","Shoalwater Bay",224,2018-05-01 09:38:10,42.3906331,-121.9739431,1
"151.5_21","Shoalwater Bay",224,2018-05-08 13:26:08,42.3847997,-121.97007,1
"151.5_21","Shoalwater Bay",224,2018-05-29 09:10:52,42.414055,-121.9887467,1
"151.5_21","Shoalwater Bay",224,2018-07-12 12:11:22,42.4913781,-122.0269583,0
"151.5_22","Rocky Point",190,2018-04-19 17:00:00,42.47781,-122.087166,1
